month,PEP,NEP,net_A_TRADE_POLICY,shock_A_TRADE_POLICY,net_B_GEO_SUPPLY,shock_B_GEO_SUPPLY,net_C_DEMAND_MACRO,shock_C_DEMAND_MACRO
2025-03,1.0,0.548601,0.536948,0.325497,0.147981,-0.012263,0.0,0.0
2025-04,0.926544,0.477268,0.514967,-0.021981,0.141743,-0.006238,0.0,0.0
2025-05,0.864541,0.613278,0.265712,-0.249255,0.140585,-0.001158,0.0,0.0
2025-06,1.0,0.556997,0.525048,0.259336,0.139559,-0.001026,0.0,0.0
2025-07,1.0,0.509665,0.581116,0.056068,0.519527,0.379968,0.0,0.0
2025-08,0.958908,0.469861,0.52361,-0.057506,0.451167,-0.068359,0.0,0.0
2025-09,0.913247,0.436387,0.475252,-0.048358,0.393549,-0.057618,0.0,0.0
2025-10,0.866969,0.408237,0.434589,-0.040663,0.344991,-0.048558,0.0,0.0
2025-11,0.822461,0.384564,0.400395,-0.034194,0.304073,-0.040918,0.0,0.0
2025-12,0.781064,0.364657,0.371643,-0.028753,0.269598,-0.034475,0.0,0.0
2026-01,0.743436,0.347917,0.347464,-0.024179,0.240552,-0.029046,0.0,0.0
2026-02,0.709795,0.33384,0.327131,-0.020332,0.216084,-0.024468,0.0,0.0
2026-03,0.680086,0.322002,0.310035,-0.017096,0.195471,-0.020613,0.0,0.0
