target_month,origin_date,W0,W1,W2,W3,W4,adj_W0,adj_W1,adj_W2,adj_W3,adj_W4,y_true,cumulative_event_adjustment,nontrivial
2023-10,2023-09-30,535.806032,535.806032,535.806032,535.806032,535.806032,0.0,0.0,0.0,0.0,0.0,534.762,0.0,0
2023-11,2023-10-31,536.80372,536.80372,536.80372,536.80372,536.80372,0.0,0.0,0.0,0.0,0.0,554.973,0.0,0
2023-12,2023-11-30,528.697872,528.697872,528.697872,652.12524,628.772716,0.0,0.0,0.0,123.427368,100.074844,608.785,100.074844,1
2024-01,2023-12-31,575.226088,575.226088,730.663963,665.206899,652.759778,0.0,0.0,155.437875,89.980811,77.53369,620.161,77.53369,1
2024-02,2024-01-31,611.899644,611.899644,611.899644,611.899644,611.899644,0.0,0.0,0.0,0.0,0.0,603.853,0.0,0
2024-03,2024-02-29,591.654691,591.654691,762.765707,709.386943,751.643695,0.0,0.0,171.111016,117.732252,159.989004,556.234,159.989004,1
2024-04,2024-03-31,575.363844,575.363844,694.457584,673.337175,642.823101,0.0,0.0,119.09374,97.973331,67.459257,543.767,67.459257,1
2024-05,2024-04-30,532.913547,532.913547,532.913547,597.625111,573.030932,0.0,0.0,0.0,64.711564,40.117385,541.476,40.117385,1
2024-06,2024-05-31,540.67363,540.67363,540.67363,540.67363,540.67363,0.0,0.0,0.0,0.0,0.0,521.206,0.0,0
2024-07,2024-06-30,526.907827,526.907827,526.907827,526.907827,526.907827,0.0,0.0,0.0,0.0,0.0,522.499,0.0,0
2024-08,2024-07-31,512.464754,512.464754,512.464754,512.464754,512.464754,0.0,0.0,0.0,0.0,0.0,520.709,0.0,0
2024-09,2024-08-31,532.460188,532.460188,532.460188,589.389696,568.811382,0.0,0.0,0.0,56.929508,36.351194,516.389,36.351194,1
2024-10,2024-09-30,527.065407,527.065407,527.065407,527.065407,527.065407,0.0,0.0,0.0,0.0,0.0,526.359,0.0,0
2024-11,2024-10-31,518.459225,518.459225,518.459225,518.459225,518.459225,0.0,0.0,0.0,0.0,0.0,527.912,0.0,0
2024-12,2024-11-30,540.426011,540.426011,540.426011,540.426011,540.426011,0.0,0.0,0.0,0.0,0.0,514.749,0.0,0
2025-01,2024-12-31,531.944405,531.944405,531.944405,531.944405,531.944405,0.0,0.0,0.0,0.0,0.0,530.866,0.0,0
2025-02,2025-01-31,515.787158,475.232453,618.162403,668.434902,593.75781,0.0,-40.554705,102.375245,152.647744,77.970652,574.367,77.970652,1
2025-03,2025-02-28,535.178021,535.178021,535.178021,535.178021,535.178021,0.0,0.0,0.0,0.0,0.0,607.858,0.0,0
2025-04,2025-03-31,570.005333,569.201085,636.985564,649.583885,630.965661,0.0,-0.804248,66.980231,79.578552,60.960328,567.259,60.960328,1
2025-05,2025-04-30,576.737513,562.104494,676.356485,654.720102,639.820484,0.0,-14.633019,99.618972,77.982589,63.082971,538.243,63.082971,1
2025-06,2025-05-31,537.590257,537.590257,607.849595,600.18666,632.615619,0.0,0.0,70.259338,62.596403,95.025362,530.948,95.025362,1
2025-07,2025-06-30,523.681735,523.681735,523.681735,523.681735,523.681735,0.0,0.0,0.0,0.0,0.0,530.174,0.0,0
2025-08,2025-07-31,516.810113,516.810113,516.810113,516.810113,516.810113,0.0,0.0,0.0,0.0,0.0,530.965,0.0,0
2025-09,2025-08-31,522.728616,522.728616,522.728616,522.728616,522.728616,0.0,0.0,0.0,0.0,0.0,527.241,0.0,0
2025-10,2025-09-30,527.143223,527.143223,527.143223,527.143223,527.143223,0.0,0.0,0.0,0.0,0.0,517.244,0.0,0
2025-11,2025-10-31,523.334805,523.334805,523.334805,523.334805,523.334805,0.0,0.0,0.0,0.0,0.0,519.92,0.0,0
2025-12,2025-11-30,522.695367,522.695367,522.695367,522.695367,522.695367,0.0,0.0,0.0,0.0,0.0,532.289,0.0,0
2026-01,2025-12-31,522.456559,522.456559,522.456559,522.456559,522.456559,0.0,0.0,0.0,0.0,0.0,573.649,0.0,0
