month,PEP,NEP,active_event_count,event_ids
2021-05,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-06,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-07,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-08,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-09,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-10,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-11,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-12,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2022-01,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2022-02,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2022-03,0.388889,0.222222,5,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_UA_CONFLICT_2022|COVID_NATIONAL_EMERGENCY_2020
2022-04,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-05,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-06,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-07,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-08,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-09,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-10,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-11,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2022-12,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2023-01,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2023-02,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2023-03,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2023-04,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2023-05,0.5,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020
2023-06,0.5,0.222222,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_NATIONAL_EMERGENCY_2020|COVID_PHE_END_2023
2023-07,0.388889,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_PHE_END_2023
2023-08,0.388889,0.222222,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|COVID_PHE_END_2023
2023-09,0.388889,0.111111,6,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022
2023-10,0.388889,0.111111,6,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022
2023-11,0.388889,0.111111,6,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022
2023-12,0.388889,0.111111,6,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022
2024-01,0.5,0.111111,7,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-02,0.5,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|YEMEN_STRIKES_2024|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-03,0.5,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|YEMEN_STRIKES_2024|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-04,0.5,0.111111,9,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_UA_CONFLICT_2022|RU_UA_EMERGENCY_CONTINUED_2024|YEMEN_STRIKES_2024|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-05,0.555556,0.111111,9,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_UA_EMERGENCY_CONTINUED_2024|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-06,0.555556,0.111111,9,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_UA_EMERGENCY_CONTINUED_2024|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-07,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-08,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-09,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-10,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-11,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2024-12,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2025-01,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2025-02,0.555556,0.111111,8,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2025-03,0.555556,0.111111,9,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|S232_STEEL_25PCT_2025|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2025-04,0.555556,0.111111,9,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|S232_STEEL_25PCT_2025|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2025-05,0.555556,0.111111,9,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|S232_STEEL_25PCT_2025|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2025-06,0.555556,0.111111,9,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|S232_INCLUSIONS_2025|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
2025-07,0.555556,0.111111,10,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|RU_TRADE_RESTRICTION_2022|RU_METALS_PROHIBITION_2024|S232_INCLUSIONS_2025|S232_STEEL_50PCT_2025|RU_UA_CONFLICT_2022|RU_ENERGY_IMPORT_BAN_2022|RED_SEA_DISRUPTION_2023
